"","inflacao","pib_per_capita","crescimento_pib","emprego"
"Gabon",2.65192583143898,7212.53574430676,0.479762270647498,80.6259994506836
"United Kingdom",2.55775577557754,39932.0602923845,1.82292777386984,95.664999961853
"Ghana",12.3719215507048,2025.88585736016,8.14344649746531,93.3709998130798
"Gambia, The",8.03410612326431,672.780534143022,4.55773190885563,91.0939998626709
"Guinea",8.91513169824086,821.651460927645,13.3601054667296,96.4279999732971
"Equatorial Guinea",0.744354746612459,9738.43422416926,-4.68568386750484,90.8450002670288
"Greece",1.1212354772079,18883.4600669282,1.50509930751895,78.511999130249
"Guatemala",4.42453655182543,4470.61079849788,2.76033848366622,97.3159999847412
"Guinea-Bissau",1.3621489993151,736.725566231783,5.9191766258605,95.9670000076294
"Guyana",1.90465615515582,4586.05457171312,2.08017739394283,87.8850002288818
"Hong Kong SAR, China",1.48058252427183,46220.5045489974,3.83840630654977,96.9100000858307
"Honduras",3.93436084442035,2432.9353638196,4.78802694524671,95.9520001411438
"Croatia",1.12937210282344,13383.6834974431,2.92136337409232,88.7919998168945
"Haiti",14.6730757379676,765.61398474258,1.17327950545629,86.5950002670288
"Hungary",2.34824281150159,14278.8744978024,4.13706393670374,95.8439998626709
"Indonesia",3.80879806953163,3836.91381389271,5.06740636558547,95.8150000572205
"Ireland",0.340531561461793,68941.8066532278,7.2217887437576,93.289999961853
"Israel",0.244210526315802,40543.5841665702,3.44461203002118,95.7849998474121
"India",2.49088699878493,1981.49904456819,7.16788886086535,97.4430000782013
"Iraq",0.184058898847646,5143.66123200793,-1.6712871559571,92.1090002059937
"Iran, Islamic Rep.",9.98718496369076,5627.74926845456,3.75518736694957,87.8999996185303
"Iceland",1.76041559180606,71314.774196294,4.60378137949624,97.2579998970032
"Italy",1.22653316645808,32155.2058659338,1.68418260951518,88.7889995574951
"Jamaica",4.37751110875077,5060.54492360667,0.978556222849122,88.3409996032715
"Jordan",3.32439233370912,4168.64160383499,2.1157328887228,85.121000289917
"Japan",0.467211747038214,38331.9793978104,1.92875725128059,97.2000000476837
"Kenya",8.0057227913467,1568.20154066387,4.86253822126818,90.7080001831055
"Kyrgyz Republic",3.1753098637994,1242.76964282023,4.70000000000006,93.1100001335144
"Cambodia",2.8909246921058,1385.2599796333,7.01503010998164,98.9379999637604
"Korea, Rep.",1.94445590723395,29742.8388613471,3.06276846243263,96.2999999523163
"Kuwait",2.17183298510008,29474.5414315342,-3.48154918987453,98.0030000209808
"Kazakhstan",7.44266321306793,9030.31880602652,4.10000000000042,95.0999999046326
"Lao PDR",0.825486793152155,2423.8462031921,6.85143125934344,99.397000014782
"Lebanon",4.32135218303198,7838.34338489943,0.551994777421314,93.8860001564026
"St. Lucia",0.11841772577109,10003.2598650984,3.67186143477542,79.2099990844727
"Sri Lanka",7.70413767850603,4104.63098320435,3.41981918897194,95.8200001716614
"Liberia",12.4196323907137,698.70176435511,2.46862609505123,97.9719998836517
"Lesotho",5.31712104367045,1232.78691893924,-2.28629910692287,76.386999130249
"Lithuania",3.72297171197815,16809.6482569674,4.13994847283978,92.9270000457764
"Luxembourg",1.73079959118897,104498.738671031,1.54566060969455,94.478000164032
"Latvia",2.93036312374664,15684.558518649,4.63647962142689,91.2849998474121
"Morocco",0.754663249323633,3036.17106160684,4.08750681721838,90.9469995498657
"Moldova",6.57022997455603,2724.49309280928,4.69079342838687,95.9019999504089
"Montenegro",2.38023599053136,7784.06528996557,4.71646496209853,83.9290008544922
"Madagascar",8.28422364446697,448.400796541908,4.30687977972366,98.3309999704361
"Mali",1.75985742927155,828.613220238384,5.40000010323682,90.5649995803833
"Myanmar",4.57272733073369,1249.82875661238,6.75862882426273,98.4490000009537
"Mongolia",4.05049928135588,3671.94841892492,5.30166847047178,93.6409997940063
"Macao SAR, China",1.22655455973391,81208.882074735,9.70399275850269,98
"Mauritania",2.25427651934813,1161.78545671604,3.0294801603543,89.7239999771118
"Malta",1.3643544815071,27241.0906440045,6.70551040742215,95.433000087738
"Mauritius",3.66699702675917,10484.9083620411,3.81415210844426,93.2480001449585
"Maldives",2.817473382345,9801.62454193575,6.91169446497798,94.1700000762939
"Malawi",11.543393918877,356.717573153369,4.00003051653042,94.5320000648499
"Mexico",6.04145724018992,9281.10148290743,2.06971518465136,96.5799999237061
"Malaysia",3.8712011577424,10117.569032569,5.89700929269976,96.5899999141693
"Namibia",6.1439236617507,5646.45600733184,-0.867877108197661,76.9120006561279
"Niger",2.7963731887128,375.869489673522,4.89343669249749,99.7150000035763
"Nigeria",16.5235399802169,1968.55958830544,0.805886619542704,93.9869999885559
"Nicaragua",3.85067166284725,2168.19123997963,4.67547537697217,95.7870001792908
"Netherlands",1.3814587140721,48482.766210439,2.86883219919665,95.1609997749329
"Norway",1.87510059552548,75704.2486981247,1.98043774938603,95.8379998207092
"Nepal",3.62709610696609,900.57390358461,7.90574161030806,98.7469999790192
"New Zealand",1.85078767452532,42260.1251767853,3.1284608180374,95.2979998588562
"Oman",1.59716060337177,15170.3517435517,-0.928051651319905,96.8629999160767
"Panama",0.875585918759905,15166.124432066,5.32123018419239,96.0999999046326
"Peru",2.80283916977831,6700.81138040492,2.51908853491756,96.539999961853
"Papua New Guinea",5.42204568023833,2640.153572462,1.54982084674984,97.6480000019073
"Philippines",2.85318772590942,2981.93415144162,6.67755356557139,97.4479999542236
"Pakistan",4.085373680326,1466.84309577722,5.7006212410121,96.819000005722
"Poland",2.07593553673862,13861.0515579074,4.81412954395472,95.1129999160767
"West Bank and Gaza",0.212570934228834,3254.48588658763,3.14023678003272,72.5559997558594
"Portugal",1.36861411643481,21291.430881308,2.79502424788114,91.1330003738403
"Paraguay",3.60247741348939,5680.58076826353,4.95805142159847,95.3850002288818
"Qatar",0.4088244369022,61264.3964777979,1.57985025330348,99.859999999404
"Romania",1.33902121104396,10792.9562796666,6.99139354329581,95.0729999542236
"Serbia",3.13106248590119,6284.192671588,2.04931052528016,86.5229997634888
"Russian Federation",3.68333072334493,10750.5871197198,1.63019594439062,94.7880001068115
"Rwanda",8.27953672260826,762.499163641385,6.05783131918818,99.0460000038147
"Saudi Arabia",-0.834845735027231,20803.7425657324,-0.741529926677842,94.1100001335144
"Solomon Islands",0.488686760260995,2077.12603765032,3.53433914692091,98.2289999723434
"Sweden",1.79449904665596,53253.4766411192,2.10471614023258,93.2820000648499
"Singapore",0.576324696043912,60297.7937806208,3.69978157650705,96.0929999351501
"Slovenia",1.42910743319297,23449.5745165237,4.88053750601732,93.4359998703003
"Slovak Republic",1.31194588223234,17579.2593991421,3.1883410545346,91.8690004348755
"Sierra Leone",18.2198091957714,499.38070781976,4.21118264884808,95.6750001907349
"Senegal",1.31815314847785,1367.21894802796,7.08292229081955,93.563000202179
"Sao Tome and Principe",5.69029619929012,1811.00963265499,3.87118594735394,86.8610000610352
"El Salvador",1.01235403315573,3902.23762163591,2.30793850388811,95.6149997711182
"Eswatini",6.22149622748528,3941.90045658669,1.87305434188787,77.6599998474121
