"alavancagem","capital","ebitida","empregados","fundos","rendimentos","renteco","rentfin","resvendas"
37.936,60.3,6.08217826042587,4,221.58776,3419.65681,8.889,69.764,3.40870721072007
16.893,111.126,16.4559810637584,11,1379.11994,3277.6829,15.123,25.012,7.98101877842943
319.382,154.46011,3.97882693396327,28,446.68051,3227.08482,0.647,3.792,0.524937240416259
15.369,321,2.25428335308364,26,347.61679,3177.26784,2.287,9.206,0.755466369495623
223.924,360.60726,8.04761571604516,37,847.79552,3081.573429,1.614,6.496,1.34879051762379
268.588,84.78,19.7003400236216,38,477.1559,3055.84977,7.401,36.552,4.32520492364562
630.894,3.1,11.4282747958261,27,244.13002,3045.32413,5.124,59.007,3.51623753101119
54.97,168,1.97724183651006,8,554.42066,3033.11899,0.812,2.694,0.226155782806136
51.708,1549.6865,3.39690190353578,3,719.03051,3032.52658,5.28,12.596,2.00107490233028
50.161,60.45,0.608267749521038,3,157.36143,2971.9478,0.818,5.502,0.218511576818408
48.027,754.3805,15.3363957011722,24,1435.36099,2961.80836,2.233,4.336,1.71945054540936
25.092,1202.02421,-3.52341240863239,13,3434.04324,2895.44474,-3.716,-4.877,-4.56489471532954
500.048,127.5,2.51989074230049,27,108.52043,2862.33624,-2.894,-34.783,-1.09596788021452
80.214,600,19.2442056312874,21,1301.53132,2776.09106,5.494,12.209,4.37915107996135
-1173.596,60,-17.6902163626058,28,-43.34483,2749.41969,-47.032,1355.158,-17.3356429805262
151.506,60.1,3.41285661772973,27,214.55508,2729.11214,2.183,11.352,0.665610344846143
17.615,60.3,2.31497056013402,2,141.62465,2699.56392,5.03,37.726,1.50259898272755
76.821,3.5,23.265609358213,18,252.00795,2691.93787,7.659,38.931,2.73347727746777
98.458,110.5,12.3176309088727,16,609.65678,2690.1557,6.101,16.451,2.63444156782449
4.355,62,10.268670982161,13,739.70368,2655.30414,15.855,29.409,6.30037416604085
49.225,39.6668,6.99218502641071,8,957.87831,2611.25382,4.08,8.359,2.36387027452451
556.47,60.03,4.16523199001441,5,222.61262,2601.46266,1.96,21.82,1.42584445273034
159.752,19,14.0989683067251,54,514.56406,2585.75366,14.758,48.287,7.25227397009542
81.549,190.4,8.95773885808212,26,774.59989,2568.805619,5.795,12.474,2.79680062216188
260.144,100.5,8.57606158883384,5,344.61618,2538.69183,1.773,8.386,0.852655305011355
319.374,70,14.4115449466974,23,193.51168,2538.34,15.161,82.891,4.73943482748568
85.614,3.00506,6.85273758769469,7,357.63037,2516.12305,4.01,17.473,1.76955932262534
4.698,10.217,4.45939604019177,19,1229.98342,2444.42328,2.761,3.992,1.60211054758655
25.545,12.62125,2.7632313441087,21,213.02396,2383.350539,1.781,4.76,0.271328724296581
0.013,272.854,-13.178607077171,16,8389.828448,2366.11152,-4.948,-5.247,-14.0806448835117
401.973,60.3,1.55089149173975,4,121.23142,2358.20602,1.781,18.916,0.778635770274909
110.228,138,3.44076707878419,12,335.47413,2328.32624,3.246,12.408,1.32344387695236
86.458,60.2,2.0388403912006,5,307.47616,2300.5793,2.446,12.202,1.63089574873598
174.016,102.17206,7.17109171820853,11,302.37274,2282.29545,1.692,8.205,0.835789248933568
67.434,33.055,7.93406840283598,20,1570.09725,2249.62074,0.138,0.322,0.170353652702479
100.479,60.3,17.4907081623879,17,605.42626,2249.12185,12.843,31.603,6.50174111287034
1.065,91.0818,5.90360207518231,57,771.67743,2245.07696,5.796,7.47,1.75829785362904
250.816,135.56,14.0276335220454,24,428.09837,2195.9958,4.492,17.425,2.54998346045855
8.714,360.01,-2.57033860502835,19,2652.64718,2125.087929,-6.831,-7.93,-9.89198586476965
174.979,60,9.96209065094968,18,252.93991,2090.62448,11.371,50.988,4.62640175860226
616.625,60.3,14.1255283309918,17,224.20648,2086.96824,0.574,4.996,0.405767075784536
247,406.049,11.1696375598834,18,417.17078,2082.95974,1.296,5.645,0.856855376842179
976.686,3.00506,1.68841740979193,20,120.45052,2070.18478,-0.479,-15.518,-1.39685138752309
230.389,30.05061,12.579317768896,21,227.13483,2047.41188,9.426,42.898,3.58700309161663
396.515,110,-2.78161384900612,13,192.25227,2038.28926,-5.788,-32.806,-3.64088846101934
197.61,60,1.46045472361277,16,100.22998,2014.57803,0.831,10.792,0.280544606157549
781.432,63.1,2.41303842815905,23,79.19752,1997.41991,1.249,15.241,0.359118779385753
19.807,34,18.8871168812631,25,745.25447,1975.33637,15.272,28.304,8.09230126208834
128.968,10,13.4429155381844,21,461.12028,1922.67343,8.266,24.337,3.99019339794844
59.847,226.734,13.7782896580763,17,475.011,1919.8933,19.117,40.149,7.45017704890162
753.283,60.11,7.87383613113438,5,110.20119,1916.98465,0.364,4.213,0.185613379846312
189.341,9,13.4835383258718,7,350.44368,1912.6062,12.956,49.31,6.62253107827424
-1310.75,65.9297,10.6103159332914,29,-64.84877,1871.00336,2.576,-65.261,2.2353396402874
